campaign_id,campaign_name,marketing_channel
C001,Spring Sale 2024,Email
C002,Summer Blast 2024,Social Media
C003,Back to School 2024,Search
C004,Black Friday 2024,Display
C005,Cyber Monday 2024,Influencer
C006,Holiday Season 2024,Affiliate
C007,New Year 2024,Email
C008,Valentine's Day 2024,Social Media
C009,Easter Promo 2024,Search
C010,Flash Sale 2024,Display
C011,Loyalty Boost 2024,Influencer
C012,Brand Awareness 2024,Affiliate
C013,Spring Sale 2025,Email
C014,Summer Blast 2025,Social Media
C015,Back to School 2025,Search
C016,Black Friday 2025,Display
C017,Cyber Monday 2025,Influencer
C018,Holiday Season 2025,Affiliate
C019,New Year 2025,EMAIL
C020,Valentine's Day 2025,Social Media
C021,Easter Promo 2025,Search
C022,Flash Sale 2025,Display
C023,Loyalty Boost 2025,Influencer
C024,Brand Awareness 2025,Affiliate
