customer_id,country,city,gender,device,customer_segment,age
CUST00001,UK,Sydney,Female,Tablet,New,31
CUST00002,DE,Sydney,Prefer not to say,Mobile,New,48
CUST00003,MX,Sydney,Male,Tablet,Returning,42
CUST00004,US,LA,Female,Mobile,VIP,45
CUST00005,US,Sydney,Female,Mobile,New,45
CUST00006,US,New York,Male,Mobile,Inactive,65
CUST00007,UK,New York,Female,Desktop,At-Risk,27
CUST00008,UK,Mexico City,Prefer not to say,Mobile,Returning,35
CUST00009,US,New York,Non-binary,Mobile,VIP,55
CUST00010,UK,Mexico City,Male,Mobile,New,59
CUST00011,FR,Toronto,Male,Tablet,Returning,25
CUST00012,DE,London,Female,Tablet,Returning,55
CUST00013,CA,London,Prefer not to say,Desktop,New,52
CUST00014,UK,LA,Male,Tablet,Inactive,57
CUST00015,US,Toronto,Non-binary,Desktop,At-Risk,40
CUST00016,AU,Mexico City,Male,Tablet,Returning,35
CUST00017,FR,Chicago,Non-binary,Mobile,Inactive,19
CUST00018,US,Toronto,Non-binary,Mobile,New,35
CUST00019,UK,New York,Male,Tablet,New,50
CUST00020,US,London,Female,Tablet,At-Risk,36
CUST00021,MX,LA,Female,Tablet,New,55
CUST00022,UK,New York,Non-binary,Desktop,Returning,25
CUST00023,US,LA,Non-binary,Tablet,New,65
CUST00024,AU,Toronto,Female,Mobile,Inactive,25
CUST00025,US,Paris,Female,Desktop,Inactive,65
CUST00026,MX,Toronto,Female,Desktop,At-Risk,18
CUST00027,US,Paris,Non-binary,Desktop,VIP,21
CUST00028,FR,Mexico City,Non-binary,Mobile,Returning,55
CUST00029,DE,Paris,Non-binary,Tablet,New,35
CUST00030,DE,Toronto,Non-binary,Mobile,New,64
CUST00031,UK,Toronto,Non-binary,Desktop,VIP,57
CUST00032,DE,LA,Non-binary,Tablet,VIP,41
CUST00033,CA,Mexico City,Female,Mobile,VIP,45
CUST00034,FR,London,Prefer not to say,Tablet,Inactive,80
CUST00035,CA,Berlin,Prefer not to say,Desktop,Returning,25
CUST00036,UK,Chicago,Male,Desktop,At-Risk,45
CUST00037,DE,Toronto,Non-binary,Mobile,New,39
CUST00038,US,Sydney,Male,Desktop,New,20
CUST00039,US,Sydney,Prefer not to say,Mobile,VIP,71
CUST00040,US,Toronto,Female,Tablet,At-Risk,18
CUST00041,UK,LA,Prefer not to say,Mobile,Inactive,25
CUST00042,UK,Sydney,Prefer not to say,Tablet,Returning,55
CUST00043,UK,London,Prefer not to say,Tablet,At-Risk,36
CUST00044,US,London,Non-binary,Desktop,New,68
