order_id,customer_id,campaign_id,order_date,product_category,product_name,quantity,unit_price,sales,profit,order_status,shipping_country
ORD000001,CUST03189,C001,2024-01-01,Electronics,Electronics Item 48,3,169.86,509.58000000000004,238.15,COMPLETED,CA
ORD000003,CUST00303,C001,2024-01-01,Home & Garden,Home & Garden Item 23,1,33.31,33.31,13.74,COMPLETED,US
ORD000004,CUST00881,C001,2024-01-01,Toys,Toys Item 3,1,55.94,55.94,21.46,COMPLETED,CA
ORD000005,CUST00432,C001,2024-01-01,Electronics,Electronics Item 27,1,887.13,887.13,289.03,COMPLETED,UK
ORD000006,CUST01859,C001,2024-01-01,Sports,Sports Item 17,1,61.67,61.67,22.96,COMPLETED,DE
ORD000007,CUST04490,C001,2024-01-01,Clothing,Clothing Item 40,3,79.51,238.53000000000003,94.8,COMPLETED,FR
ORD000008,CUST03709,C001,2024-01-01,Home & Garden,Home & Garden Item 6,1,126.67,126.67,80.63,COMPLETED,CA
ORD000009,CUST01118,C001,2024-01-01,Clothing,Clothing Item 46,1,22.21,22.21,10.35,COMPLETED,MX
ORD000010,CUST00555,C001,2024-01-01,Books,Books Item 21,1,26.41,26.41,10.95,COMPLETED,AU
ORD000011,CUST02239,C001,2024-01-01,Home & Garden,Home & Garden Item 32,1,149.76,149.76,63.04,COMPLETED,DE
ORD000012,CUST04128,C001,2024-01-01,Electronics,Electronics Item 43,1,322.22,322.22,156.29,COMPLETED,FR
ORD000013,CUST04380,C001,2024-01-01,Toys,Toys Item 41,1,40.84,40.84,24.0,COMPLETED,CA
ORD000014,CUST01790,C001,2024-01-01,Sports,Sports Item 15,2,262.17,524.34,259.88,COMPLETED,US
ORD000015,CUST02794,C001,2024-01-01,Food & Beverage,Food & Beverage Item 36,1,40.36,40.36,23.36,COMPLETED,DE
ORD000017,CUST00141,C001,2024-01-01,Toys,Toys Item 33,1,57.08,57.08,36.45,COMPLETED,MX
ORD000018,CUST01354,C001,2024-01-01,Books,Books Item 2,3,27.74,83.22,52.37,COMPLETED,US
ORD000019,CUST02273,C001,2024-01-01,Clothing,Clothing Item 15,2,66.94,133.88,37.31,COMPLETED,CA
ORD000021,CUST00312,C001,2024-01-01,Toys,Toys Item 50,1,111.74,111.74,53.36,COMPLETED,US
ORD000022,CUST03981,C001,2024-01-01,Toys,Toys Item 48,3,46.78,140.34,60.27,COMPLETED,US
ORD000023,CUST01397,C001,2024-01-01,Electronics,Electronics Item 30,3,398.22,1194.66,587.66,COMPLETED,FR
ORD000024,CUST00421,C001,2024-01-01,Electronics,Electronics Item 31,1,518.83,518.83,320.87,COMPLETED,FR
ORD000025,CUST01435,C001,2024-01-01,Sports,Sports Item 11,3,207.85,623.55,208.54,COMPLETED,DE
ORD000026,CUST03256,C001,2024-01-01,Home & Garden,Home & Garden Item 10,2,281.1,562.2,183.66,COMPLETED,US
ORD000027,CUST04236,C001,2024-01-01,Clothing,Clothing Item 22,1,26.09,26.09,10.38,COMPLETED,US
ORD000028,CUST01056,C001,2024-01-01,Clothing,Clothing Item 45,2,86.38,172.76,92.59,COMPLETED,US
ORD000029,CUST01653,C001,2024-01-01,Books,Books Item 40,1,39.63,39.63,19.15,COMPLETED,US
ORD000030,CUST02559,C001,2024-01-01,Electronics,Electronics Item 10,1,475.79,475.79,260.63,COMPLETED,US
ORD000031,CUST01676,C001,2024-01-01,Clothing,Clothing Item 13,1,85.22,85.22,37.92,COMPLETED,UK
ORD000032,CUST01471,C001,2024-01-01,Books,Books Item 14,5,54.9,274.5,113.17,COMPLETED,US
ORD000033,CUST02350,C001,2024-01-01,Electronics,Electronics Item 25,1,865.84,865.84,409.66,COMPLETED,US
ORD000034,CUST01658,C001,2024-01-01,Food & Beverage,Food & Beverage Item 19,2,61.66,123.32,60.05,COMPLETED,UK
ORD000035,CUST02469,C001,2024-01-01,Clothing,Clothing Item 2,3,124.43,373.29,229.15,COMPLETED,US
ORD000036,CUST00715,C001,2024-01-01,Clothing,Clothing Item 5,2,165.7,331.4,136.92,COMPLETED,US
ORD000037,CUST03404,C001,2024-01-01,Home & Garden,Home & Garden Item 30,4,391.28,1565.12,795.8,COMPLETED,MX
ORD000038,CUST02803,C001,2024-01-01,Beauty,Beauty Item 4,1,62.89,62.89,36.72,COMPLETED,UK
ORD000039,CUST00908,C001,2024-01-01,Sports,Sports Item 47,2,286.92,573.84,284.45,COMPLETED,US
ORD000040,CUST01145,C001,2024-01-02,Home & Garden,Home & Garden Item 35,1,105.6,105.6,51.27,COMPLETED,US
ORD000042,CUST04261,C001,2024-01-02,Clothing,Clothing Item 2,1,139.47,139.47,80.15,COMPLETED,MX
